id,followers,following
josbondi,399,59
anul,1083,1941
fuser_moyron,468,754
moycon_i,499,2352
mafrancob,140,337
bazarcoyo,1062,1014
revista_siempre,4099,984
AccionNacional,162492,1497
MonseAchigar,301,139
janatrecientos,72,81
Aurora_RivasS,71,243
Antisistema2018,756,1883
FVJA3,165,770
CBPatriaGrande,34791,28221
enriqearchi,702,129
oskar2687,4892,985
LoreArau,8387,8035
ebarcov,404,1195
JCuevasC,1046,3095
ogg9741,1632,2202
Rpineda63V,1205,1539
ortizpadilla,39820,38826
liliauribe,34,149
pocopelo23,1850,2007
nopalmuino,1771,217
VochoBizarro,459,4372
JBERZA_VAZQUEZ,36,167
YoliEstela,84,137
enribt,450,783
GonzaalezCamilo,1843,2109
MALEJANDROH11,228,699
Guiacd,538,1359
SAYOLA1,250,300
Angeles94372510,179,1823
Ivn_Orizaga,138,65
OlveraBaut,40,97
MaEstherHernan1,8,34
_jazarguello,179,209
Cabronesio,332,537
jaimerenealmagu,1965,1948
strategiaSindkl,34,100
fpdsnacional,6160,879
r231080,4,89
mggfranco,132,135
BrendaH2O66,1861,223
ezeganem,1377,825
EstherEvang,540,1982
laumve,417,443
JuliaAlonso15,3326,1872
antenanegratv,3852,357
TOTOMEXICO78,591,552
odiomistweets,424427,881
esmezu01,195,342
Felipe_Ordo,216,408
jcmjearly,148,158
JuanDiegoE27,144,137
crisantoyo,217,313
RJanamoralesf10,217,322
BettyZanolli,722,864
El_Chavo_Mamon,539,112
OVHS91_92,738,2263
JamesFaick,69,22
PelaezAndino,4576,968
TxelaL,834,1775
xavho0707,569,2321
joel_metalml,62,54
EfimeroGT,129,733
GospodProf,76,283
ReporteDirecto,3270,750
kunthwood,504,2020
jdsl25,110,216
MetroNicaragua,47408,347
GustevoM,88,464
Gagoanguiano,372,1084
davimar1307,780,1351
dokoguerrero,39,62
GoodbottomJesus,1290,1288
ncv_Violeta,9221,219
sandrav33,449,381
michelgr6610,35,134
exPadaDDemonerd,359,1010
ELIZAESTRADAMAC,223,734
tigrillo35,1502,1631
ferromu,5104,4837
